"","Modelo","overall_accuracy","overall_error","Factor_0_Accuracy","Factor_1_Accuracy","Factor_2_Accuracy","Factor_3_Accuracy","experimento","grupo","dataset"
"resumen_metricas71","modelo_arboles - Gini",0.7925,0.2075,0.8932,0.75926,0.68421,0.82979,2,3,"moviles112"
"resumen_metricas.171","modelo_arboles - information",0.79,0.21,0.94175,0.63889,0.70526,0.88298,2,3,"moviles112"
"resumen_metricas81","modelo_arboles - Gini",0.8,0.2,0.91919,0.68868,0.74468,0.85149,2,4,"moviles112"
"resumen_metricas.181","modelo_arboles - information",0.785,0.215,0.89899,0.70755,0.79787,0.74257,2,4,"moviles112"
"resumen_metricas91","modelo_arboles - Gini",0.8075,0.1925,0.92381,0.72527,0.65217,0.89286,2,5,"moviles112"
"resumen_metricas.191","modelo_arboles - information",0.8375,0.1625,0.95238,0.7033,0.77174,0.89286,2,5,"moviles112"
"resumen_metricas101","modelo_arboles - Gini",0.83,0.17,0.92553,0.78125,0.61053,0.97391,3,1,"moviles112"
"resumen_metricas.1101","modelo_arboles - information",0.8125,0.1875,0.94681,0.69792,0.78947,0.81739,3,1,"moviles112"
"resumen_metricas111","modelo_arboles - Gini",0.79,0.21,0.9902,0.72727,0.62136,0.83529,3,2,"moviles112"
"resumen_metricas.1111","modelo_arboles - information",0.815,0.185,0.9902,0.69091,0.78641,0.8,3,2,"moviles112"
"resumen_metricas121","modelo_arboles - Gini",0.81,0.19,0.93578,0.71717,0.72917,0.84375,3,3,"moviles112"
"resumen_metricas.1121","modelo_arboles - information",0.82,0.18,0.93578,0.68687,0.75,0.89583,3,3,"moviles112"
"resumen_metricas131","modelo_arboles - Gini",0.7675,0.2325,0.93407,0.64,0.75,0.76147,3,4,"moviles112"
"resumen_metricas.1131","modelo_arboles - information",0.7825,0.2175,0.93407,0.65,0.7,0.85321,3,4,"moviles112"
"resumen_metricas141","modelo_arboles - Gini",0.765,0.235,0.89423,0.67368,0.68868,0.8,3,5,"moviles112"
"resumen_metricas.1141","modelo_arboles - information",0.79,0.21,0.90385,0.68421,0.74528,0.82105,3,5,"moviles112"
"resumen_metricas17","modelo_arboles - Gini",0.8,0.2,0.91667,0.79208,0.68932,0.79545,1,1,"moviles121"
"resumen_metricas.117","modelo_arboles - information",0.7825,0.2175,0.94444,0.69307,0.68932,0.79545,1,1,"moviles121"
"resumen_metricas18","modelo_arboles - Gini",0.77,0.23,0.86275,0.70476,0.56522,0.93069,1,2,"moviles121"
"resumen_metricas.118","modelo_arboles - information",0.8,0.2,0.91176,0.68571,0.72826,0.87129,1,2,"moviles121"
"resumen_metricas22","modelo_arboles - Gini",0.805,0.195,0.92523,0.75258,0.64948,0.87879,1,3,"moviles121"
"resumen_metricas.122","modelo_arboles - information",0.8025,0.1975,0.95327,0.70103,0.65979,0.87879,1,3,"moviles121"
"resumen_metricas32","modelo_arboles - Gini",0.8,0.2,0.95402,0.65263,0.72549,0.87069,1,4,"moviles121"
"resumen_metricas.132","modelo_arboles - information",0.805,0.195,0.95402,0.58947,0.80392,0.87069,1,4,"moviles121"
"resumen_metricas42","modelo_arboles - Gini",0.8075,0.1925,0.97917,0.67647,0.67925,0.91667,1,5,"moviles121"
"resumen_metricas.142","modelo_arboles - information",0.81,0.19,0.9375,0.66667,0.72642,0.92708,1,5,"moviles121"
"resumen_metricas52","modelo_arboles - Gini",0.7825,0.2175,0.94845,0.69027,0.72826,0.77551,2,1,"moviles121"
"resumen_metricas.152","modelo_arboles - information",0.785,0.215,0.95876,0.62832,0.73913,0.83673,2,1,"moviles121"
"resumen_metricas62","modelo_arboles - Gini",0.8,0.2,0.91429,0.72727,0.73333,0.82418,2,2,"moviles121"
"resumen_metricas.162","modelo_arboles - information",0.8,0.2,0.93333,0.73737,0.70476,0.82418,2,2,"moviles121"
"resumen_metricas72","modelo_arboles - Gini",0.7825,0.2175,0.875,0.75758,0.60825,0.87963,2,3,"moviles121"
"resumen_metricas.172","modelo_arboles - information",0.7925,0.2075,0.9375,0.70707,0.65979,0.86111,2,3,"moviles121"
"resumen_metricas82","modelo_arboles - Gini",0.805,0.195,0.95327,0.73684,0.64423,0.88298,2,4,"moviles121"
"resumen_metricas.182","modelo_arboles - information",0.7925,0.2075,0.95327,0.67368,0.65385,0.88298,2,4,"moviles121"
"resumen_metricas92","modelo_arboles - Gini",0.805,0.195,0.95789,0.6383,0.71569,0.89908,2,5,"moviles121"
"resumen_metricas.192","modelo_arboles - information",0.805,0.195,0.95789,0.61702,0.78431,0.85321,2,5,"moviles121"
"resumen_metricas102","modelo_arboles - Gini",0.7975,0.2025,0.93878,0.71429,0.65306,0.87736,3,1,"moviles121"
"resumen_metricas.1102","modelo_arboles - information",0.79,0.21,0.96939,0.65306,0.65306,0.87736,3,1,"moviles121"
"resumen_metricas112","modelo_arboles - Gini",0.81,0.19,0.91429,0.74,0.66279,0.88991,3,2,"moviles121"
"resumen_metricas.1112","modelo_arboles - information",0.82,0.18,0.9619,0.7,0.69767,0.88991,3,2,"moviles121"
"resumen_metricas122","modelo_arboles - Gini",0.7975,0.2025,0.9619,0.74757,0.61538,0.84158,3,3,"moviles121"
"resumen_metricas.1122","modelo_arboles - information",0.7925,0.2075,0.99048,0.62136,0.7033,0.84158,3,3,"moviles121"
"resumen_metricas132","modelo_arboles - Gini",0.7825,0.2175,0.86458,0.73196,0.71698,0.82178,3,4,"moviles121"
"resumen_metricas.1132","modelo_arboles - information",0.8,0.2,0.89583,0.69072,0.78302,0.83168,3,4,"moviles121"
"resumen_metricas142","modelo_arboles - Gini",0.7625,0.2375,0.95833,0.65686,0.63025,0.85542,3,5,"moviles121"
"resumen_metricas.1142","modelo_arboles - information",0.79,0.21,0.95833,0.61765,0.7479,0.86747,3,5,"moviles121"
"resumen_metricas19","modelo_arboles - Gini",0.815,0.185,0.93333,0.73333,0.71154,0.90099,1,1,"moviles122"
"resumen_metricas.119","modelo_arboles - information",0.825,0.175,0.95556,0.68571,0.79808,0.88119,1,1,"moviles122"
"resumen_metricas110","modelo_arboles - Gini",0.8025,0.1975,0.94444,0.73529,0.62637,0.87879,1,2,"moviles122"
"resumen_metricas.1110","modelo_arboles - information",0.7975,0.2025,0.9537,0.66667,0.67033,0.87879,1,2,"moviles122"
"resumen_metricas23","modelo_arboles - Gini",0.7675,0.2325,0.94393,0.69663,0.63551,0.78351,1,3,"moviles122"
"resumen_metricas.123","modelo_arboles - information",0.7975,0.2025,0.97196,0.62921,0.65421,0.91753,1,3,"moviles122"
"resumen_metricas33","modelo_arboles - Gini",0.8,0.2,0.91919,0.67368,0.79,0.81132,1,4,"moviles122"
"resumen_metricas.133","modelo_arboles - information",0.7875,0.2125,0.91919,0.63158,0.75,0.83962,1,4,"moviles122"
"resumen_metricas43","modelo_arboles - Gini",0.7625,0.2375,0.88542,0.58716,0.80612,0.79381,1,5,"moviles122"
"resumen_metricas.143","modelo_arboles - information",0.7625,0.2375,0.90625,0.54128,0.77551,0.85567,1,5,"moviles122"
"resumen_metricas53","modelo_arboles - Gini",0.805,0.195,0.89091,0.7549,0.60825,0.96703,2,1,"moviles122"
"resumen_metricas.153","modelo_arboles - information",0.795,0.205,0.96364,0.70588,0.53608,0.96703,2,1,"moviles122"
"resumen_metricas63","modelo_arboles - Gini",0.8125,0.1875,0.96154,0.66667,0.78495,0.83673,2,2,"moviles122"
"resumen_metricas.163","modelo_arboles - information",0.76,0.24,0.86538,0.60952,0.72043,0.84694,2,2,"moviles122"
"resumen_metricas73","modelo_arboles - Gini",0.795,0.205,0.94565,0.72449,0.67961,0.84112,2,3,"moviles122"
"resumen_metricas.173","modelo_arboles - information",0.7925,0.2075,0.94565,0.67347,0.76699,0.79439,2,3,"moviles122"
"resumen_metricas83","modelo_arboles - Gini",0.7775,0.2225,0.90476,0.72917,0.65094,0.82796,2,4,"moviles122"
"resumen_metricas.183","modelo_arboles - information",0.79,0.21,0.90476,0.77083,0.65094,0.83871,2,4,"moviles122"
"resumen_metricas93","modelo_arboles - Gini",0.795,0.205,0.93258,0.71717,0.71287,0.82883,2,5,"moviles122"
"resumen_metricas.193","modelo_arboles - information",0.8075,0.1925,0.93258,0.69697,0.74257,0.86486,2,5,"moviles122"
"resumen_metricas103","modelo_arboles - Gini",0.8075,0.1925,0.97895,0.71717,0.64583,0.88182,3,1,"moviles122"
"resumen_metricas.1103","modelo_arboles - information",0.8,0.2,0.97895,0.64646,0.6875,0.88182,3,1,"moviles122"
"resumen_metricas113","modelo_arboles - Gini",0.73,0.27,0.85556,0.63462,0.68317,0.7619,3,2,"moviles122"
"resumen_metricas.1113","modelo_arboles - information",0.7675,0.2325,0.95556,0.64423,0.66337,0.82857,3,2,"moviles122"
"resumen_metricas123","modelo_arboles - Gini",0.8025,0.1975,0.94118,0.68478,0.81915,0.75893,3,3,"moviles122"
"resumen_metricas.1123","modelo_arboles - information",0.8025,0.1975,0.95098,0.65217,0.73404,0.84821,3,3,"moviles122"
"resumen_metricas133","modelo_arboles - Gini",0.79,0.21,0.93,0.7551,0.66372,0.83146,3,4,"moviles122"
"resumen_metricas.1133","modelo_arboles - information",0.795,0.205,0.93,0.73469,0.69027,0.8427,3,4,"moviles122"
"resumen_metricas143","modelo_arboles - Gini",0.8125,0.1875,0.9292,0.78505,0.625,0.90476,3,5,"moviles122"
"resumen_metricas.1143","modelo_arboles - information",0.7925,0.2075,0.95575,0.65421,0.65625,0.90476,3,5,"moviles122"
"resumen_metricas20","modelo_arboles - Gini",0.8075,0.1925,0.96774,0.79,0.55,0.92523,1,1,"moviles131"
"resumen_metricas.120","modelo_arboles - information",0.79,0.21,0.96774,0.66,0.75,0.79439,1,1,"moviles131"
"resumen_metricas114","modelo_arboles - Gini",0.785,0.215,0.9697,0.70192,0.66667,0.80612,1,2,"moviles131"
"resumen_metricas.1114","modelo_arboles - information",0.785,0.215,0.9697,0.70192,0.66667,0.80612,1,2,"moviles131"
"resumen_metricas24","modelo_arboles - Gini",0.815,0.185,0.89815,0.75281,0.71875,0.86916,1,3,"moviles131"
"resumen_metricas.124","modelo_arboles - information",0.79,0.21,0.84259,0.74157,0.77083,0.79439,1,3,"moviles131"
"resumen_metricas34","modelo_arboles - Gini",0.805,0.195,0.92233,0.72816,0.66667,0.89109,1,4,"moviles131"
"resumen_metricas.134","modelo_arboles - information",0.81,0.19,0.97087,0.69903,0.66667,0.89109,1,4,"moviles131"
"resumen_metricas44","modelo_arboles - Gini",0.8,0.2,0.92784,0.70192,0.71429,0.88506,1,5,"moviles131"
"resumen_metricas.144","modelo_arboles - information",0.7875,0.2125,0.92784,0.59615,0.76786,0.88506,1,5,"moviles131"
"resumen_metricas54","modelo_arboles - Gini",0.78,0.22,0.9505,0.73118,0.66667,0.76636,2,1,"moviles131"
"resumen_metricas.154","modelo_arboles - information",0.7725,0.2275,0.9505,0.63441,0.64646,0.84112,2,1,"moviles131"
"resumen_metricas64","modelo_arboles - Gini",0.825,0.175,0.95918,0.7963,0.67619,0.88764,2,2,"moviles131"
"resumen_metricas.164","modelo_arboles - information",0.8,0.2,0.95918,0.69444,0.68571,0.88764,2,2,"moviles131"
"resumen_metricas74","modelo_arboles - Gini",0.8025,0.1975,0.92308,0.71304,0.69565,0.88764,2,3,"moviles131"
"resumen_metricas.174","modelo_arboles - information",0.805,0.195,0.92308,0.70435,0.72826,0.8764,2,3,"moviles131"
"resumen_metricas84","modelo_arboles - Gini",0.8225,0.1775,0.97,0.66667,0.69643,0.93458,2,4,"moviles131"
"resumen_metricas.184","modelo_arboles - information",0.8275,0.1725,0.97,0.66667,0.75,0.8972,2,4,"moviles131"
"resumen_metricas94","modelo_arboles - Gini",0.7675,0.2325,0.86598,0.71845,0.75,0.74074,2,5,"moviles131"
"resumen_metricas.194","modelo_arboles - information",0.745,0.255,0.91753,0.5534,0.68478,0.82407,2,5,"moviles131"
"resumen_metricas104","modelo_arboles - Gini",0.7825,0.2175,0.93103,0.7193,0.62105,0.875,3,1,"moviles131"
"resumen_metricas.1104","modelo_arboles - information",0.765,0.235,0.85057,0.70175,0.68421,0.83654,3,1,"moviles131"
"resumen_metricas115","modelo_arboles - Gini",0.795,0.205,0.95122,0.65766,0.71845,0.89423,3,2,"moviles131"
"resumen_metricas.1115","modelo_arboles - information",0.8175,0.1825,0.96341,0.69369,0.85437,0.79808,3,2,"moviles131"
"resumen_metricas124","modelo_arboles - Gini",0.7875,0.2125,0.93137,0.69231,0.65094,0.87129,3,3,"moviles131"
"resumen_metricas.1124","modelo_arboles - information",0.77,0.23,0.98039,0.56044,0.65094,0.87129,3,3,"moviles131"
"resumen_metricas134","modelo_arboles - Gini",0.83,0.17,0.93162,0.73913,0.75269,0.86735,3,4,"moviles131"
"resumen_metricas.1134","modelo_arboles - information",0.8175,0.1825,0.94872,0.63043,0.73118,0.91837,3,4,"moviles131"
"resumen_metricas144","modelo_arboles - Gini",0.785,0.215,0.92857,0.69565,0.68932,0.80645,3,5,"moviles131"
"resumen_metricas.1144","modelo_arboles - information",0.785,0.215,0.92857,0.6413,0.73786,0.80645,3,5,"moviles131"
"resumen_metricas25","modelo_arboles - Gini",0.81,0.19,0.90741,0.70833,0.77451,0.84043,1,1,"moviles132"
"resumen_metricas.125","modelo_arboles - information",0.8125,0.1875,0.91667,0.6875,0.79412,0.84043,1,1,"moviles132"
"resumen_metricas116","modelo_arboles - Gini",0.7825,0.2175,0.93,0.67647,0.63725,0.89583,1,2,"moviles132"
"resumen_metricas.1116","modelo_arboles - information",0.79,0.21,0.95,0.60784,0.72549,0.88542,1,2,"moviles132"
"resumen_metricas26","modelo_arboles - Gini",0.78,0.22,0.93694,0.63158,0.7037,0.84043,1,3,"moviles132"
"resumen_metricas.126","modelo_arboles - information",0.755,0.245,0.84685,0.64912,0.66667,0.85106,1,3,"moviles132"
"resumen_metricas35","modelo_arboles - Gini",0.8075,0.1925,0.94444,0.76923,0.66972,0.86364,1,4,"moviles132"
"resumen_metricas.135","modelo_arboles - information",0.8,0.2,0.96667,0.67033,0.70642,0.86364,1,4,"moviles132"
"resumen_metricas45","modelo_arboles - Gini",0.7875,0.2125,0.96703,0.65979,0.66981,0.86792,1,5,"moviles132"
"resumen_metricas.145","modelo_arboles - information",0.7925,0.2075,0.97802,0.61856,0.71698,0.86792,1,5,"moviles132"
"resumen_metricas55","modelo_arboles - Gini",0.7675,0.2325,0.89091,0.67327,0.75532,0.73684,2,1,"moviles132"
"resumen_metricas.155","modelo_arboles - information",0.775,0.225,0.90909,0.67327,0.67021,0.83158,2,1,"moviles132"
"resumen_metricas65","modelo_arboles - Gini",0.8125,0.1875,0.9633,0.73333,0.73077,0.80412,2,2,"moviles132"
"resumen_metricas.165","modelo_arboles - information",0.815,0.185,0.9633,0.73333,0.74038,0.80412,2,2,"moviles132"
"resumen_metricas75","modelo_arboles - Gini",0.795,0.205,0.95098,0.71429,0.65789,0.86,2,3,"moviles132"
"resumen_metricas.175","modelo_arboles - information",0.785,0.215,0.95098,0.66667,0.65789,0.86,2,3,"moviles132"
"resumen_metricas85","modelo_arboles - Gini",0.795,0.205,0.88889,0.73786,0.7033,0.84483,2,4,"moviles132"
"resumen_metricas.185","modelo_arboles - information",0.7825,0.2175,0.84444,0.69903,0.59341,0.9569,2,4,"moviles132"
"resumen_metricas95","modelo_arboles - Gini",0.795,0.205,0.95506,0.78689,0.6701,0.78261,2,5,"moviles132"
"resumen_metricas.195","modelo_arboles - information",0.7975,0.2025,0.94382,0.77869,0.70103,0.78261,2,5,"moviles132"
"resumen_metricas105","modelo_arboles - Gini",0.805,0.195,0.94949,0.73958,0.69388,0.83178,3,1,"moviles132"
"resumen_metricas.1105","modelo_arboles - information",0.7975,0.2025,0.9596,0.66667,0.72449,0.83178,3,1,"moviles132"
"resumen_metricas117","modelo_arboles - Gini",0.7875,0.2125,0.94845,0.75455,0.62887,0.82292,3,2,"moviles132"
"resumen_metricas.1117","modelo_arboles - information",0.745,0.255,0.93814,0.60909,0.62887,0.82292,3,2,"moviles132"
"resumen_metricas125","modelo_arboles - Gini",0.8,0.2,0.91919,0.67619,0.67568,0.97647,3,3,"moviles132"
"resumen_metricas.1125","modelo_arboles - information",0.7925,0.2075,0.92929,0.62857,0.68468,0.97647,3,3,"moviles132"
"resumen_metricas135","modelo_arboles - Gini",0.795,0.205,0.94393,0.66304,0.70526,0.83962,3,4,"moviles132"
"resumen_metricas.1135","modelo_arboles - information",0.8,0.2,0.96262,0.56522,0.8,0.83962,3,4,"moviles132"
"resumen_metricas145","modelo_arboles - Gini",0.8175,0.1825,0.89796,0.82474,0.66667,0.87736,3,5,"moviles132"
"resumen_metricas.1145","modelo_arboles - information",0.8,0.2,0.89796,0.74227,0.67677,0.87736,3,5,"moviles132"
"resumen_metricas27","modelo_arboles - Gini",0.78535,0.21465,0.92308,0.64356,0.8,0.77228,1,1,"moviles211"
"resumen_metricas.127","modelo_arboles - information",0.80808,0.19192,0.93269,0.61386,0.87778,0.81188,1,1,"moviles211"
"resumen_metricas118","modelo_arboles - Gini",0.80808,0.19192,0.96667,0.78571,0.65179,0.86458,1,2,"moviles211"
"resumen_metricas.1118","modelo_arboles - information",0.78788,0.21212,0.87778,0.83673,0.59821,0.875,1,2,"moviles211"
"resumen_metricas28","modelo_arboles - Gini",0.7904,0.2096,0.94595,0.65591,0.74194,0.78788,1,3,"moviles211"
"resumen_metricas.128","modelo_arboles - information",0.80051,0.19949,0.91892,0.66667,0.72043,0.86869,1,3,"moviles211"
"resumen_metricas36","modelo_arboles - Gini",0.81566,0.18434,0.89286,0.67442,0.79798,0.86869,1,4,"moviles211"
"resumen_metricas.136","modelo_arboles - information",0.83081,0.16919,0.9375,0.68605,0.79798,0.86869,1,4,"moviles211"
"resumen_metricas46","modelo_arboles - Gini",0.79293,0.20707,0.97468,0.71795,0.70588,0.82653,1,5,"moviles211"
"resumen_metricas.146","modelo_arboles - information",0.79545,0.20455,0.94937,0.70085,0.68627,0.89796,1,5,"moviles211"
"resumen_metricas56","modelo_arboles - Gini",0.80303,0.19697,0.94828,0.63303,0.77273,0.85542,2,1,"moviles211"
"resumen_metricas.156","modelo_arboles - information",0.80051,0.19949,0.9569,0.61468,0.77273,0.85542,2,1,"moviles211"
"resumen_metricas66","modelo_arboles - Gini",0.81313,0.18687,0.98058,0.7732,0.67708,0.81,2,2,"moviles211"
"resumen_metricas.166","modelo_arboles - information",0.80808,0.19192,0.98058,0.69072,0.73958,0.81,2,2,"moviles211"
"resumen_metricas76","modelo_arboles - Gini",0.7803,0.2197,0.93407,0.69231,0.69388,0.81553,2,3,"moviles211"
"resumen_metricas.176","modelo_arboles - information",0.76263,0.23737,0.92308,0.67308,0.61224,0.85437,2,3,"moviles211"
"resumen_metricas86","modelo_arboles - Gini",0.78283,0.21717,0.91111,0.68817,0.63551,0.90566,2,4,"moviles211"
"resumen_metricas.186","modelo_arboles - information",0.78283,0.21717,0.91111,0.67742,0.64486,0.90566,2,4,"moviles211"
"resumen_metricas96","modelo_arboles - Gini",0.80303,0.19697,0.96875,0.61957,0.74766,0.87129,2,5,"moviles211"
"resumen_metricas.196","modelo_arboles - information",0.81061,0.18939,0.96875,0.61957,0.74766,0.90099,2,5,"moviles211"
"resumen_metricas106","modelo_arboles - Gini",0.7803,0.2197,0.97753,0.65455,0.64815,0.89888,3,1,"moviles211"
"resumen_metricas.1106","modelo_arboles - information",0.78283,0.21717,0.98876,0.61818,0.68519,0.89888,3,1,"moviles211"
"resumen_metricas119","modelo_arboles - Gini",0.81566,0.18434,0.9386,0.70755,0.70238,0.8913,3,2,"moviles211"
"resumen_metricas.1119","modelo_arboles - information",0.80556,0.19444,0.95614,0.65094,0.70238,0.8913,3,2,"moviles211"
"resumen_metricas126","modelo_arboles - Gini",0.82071,0.17929,0.94118,0.76087,0.70297,0.87129,3,3,"moviles211"
"resumen_metricas.1126","modelo_arboles - information",0.80808,0.19192,0.89216,0.77174,0.76238,0.80198,3,3,"moviles211"
"resumen_metricas136","modelo_arboles - Gini",0.7601,0.2399,0.89011,0.68478,0.75248,0.72321,3,4,"moviles211"
"resumen_metricas.1136","modelo_arboles - information",0.73485,0.26515,0.72527,0.70652,0.67327,0.82143,3,4,"moviles211"
"resumen_metricas146","modelo_arboles - Gini",0.76263,0.23737,0.9,0.75789,0.52941,0.86869,3,5,"moviles211"
"resumen_metricas.1146","modelo_arboles - information",0.76768,0.23232,0.89,0.78947,0.5,0.89899,3,5,"moviles211"
"resumen_metricas29","modelo_arboles - Gini",0.77525,0.22475,0.94444,0.70476,0.76,0.71287,1,1,"moviles212"
"resumen_metricas.129","modelo_arboles - information",0.77525,0.22475,0.97778,0.6381,0.76,0.75248,1,1,"moviles212"
