"","Modelo","overall_accuracy","overall_error","Factor_0_Accuracy","Factor_1_Accuracy","Factor_2_Accuracy","Factor_3_Accuracy","experimento","grupo","dataset"
"resumen_metricas.283","modelo_svm - radial",0.95,0.05,0.9898,0.93204,0.93548,0.9434,2,4,"moviles122"
"resumen_metricas.383","modelo_svm - sigmoid",0.955,0.045,0.96939,0.93204,0.95699,0.96226,2,4,"moviles122"
"resumen_metricas931","modelo_svm - linear",0.96,0.04,0.98,0.93333,0.95349,0.97248,2,5,"moviles122"
"resumen_metricas.1931","modelo_svm - polynomial",0.8225,0.1775,0.84,0.8381,0.87209,0.75229,2,5,"moviles122"
"resumen_metricas.293","modelo_svm - radial",0.92,0.08,0.98,0.86667,0.89535,0.93578,2,5,"moviles122"
"resumen_metricas.393","modelo_svm - sigmoid",0.9175,0.0825,0.96,0.92381,0.88372,0.89908,2,5,"moviles122"
"resumen_metricas1031","modelo_svm - linear",0.9625,0.0375,0.97849,0.92453,0.97,0.9802,3,1,"moviles122"
"resumen_metricas.11031","modelo_svm - polynomial",0.79,0.21,0.7957,0.77358,0.86,0.73267,3,1,"moviles122"
"resumen_metricas.2103","modelo_svm - radial",0.915,0.085,0.94624,0.92453,0.87,0.92079,3,1,"moviles122"
"resumen_metricas.3103","modelo_svm - sigmoid",0.94,0.06,0.96774,0.93396,0.9,0.9604,3,1,"moviles122"
"resumen_metricas1131","modelo_svm - linear",0.965,0.035,0.9798,0.97273,0.92308,0.98,3,2,"moviles122"
"resumen_metricas.11131","modelo_svm - polynomial",0.79,0.21,0.82828,0.74545,0.81319,0.78,3,2,"moviles122"
"resumen_metricas.2113","modelo_svm - radial",0.9175,0.0825,0.9798,0.87273,0.9011,0.92,3,2,"moviles122"
"resumen_metricas.3113","modelo_svm - sigmoid",0.9225,0.0775,0.9697,0.96364,0.85714,0.89,3,2,"moviles122"
"resumen_metricas1231","modelo_svm - linear",0.965,0.035,0.98936,0.95604,0.93939,0.97414,3,3,"moviles122"
"resumen_metricas.11231","modelo_svm - polynomial",0.815,0.185,0.84043,0.78022,0.82828,0.81034,3,3,"moviles122"
"resumen_metricas.2123","modelo_svm - radial",0.9,0.1,0.92553,0.87912,0.86869,0.92241,3,3,"moviles122"
"resumen_metricas.3123","modelo_svm - sigmoid",0.91,0.09,0.95745,0.89011,0.90909,0.88793,3,3,"moviles122"
"resumen_metricas1331","modelo_svm - linear",0.9475,0.0525,0.97248,0.89535,0.92593,0.98969,3,4,"moviles122"
"resumen_metricas.11331","modelo_svm - polynomial",0.8075,0.1925,0.79817,0.7907,0.81481,0.82474,3,4,"moviles122"
"resumen_metricas.2133","modelo_svm - radial",0.9125,0.0875,0.93578,0.87209,0.88889,0.94845,3,4,"moviles122"
"resumen_metricas.3133","modelo_svm - sigmoid",0.91,0.09,0.9633,0.82558,0.87963,0.95876,3,4,"moviles122"
"resumen_metricas1431","modelo_svm - linear",0.9575,0.0425,0.9619,0.94393,0.94118,0.98837,3,5,"moviles122"
"resumen_metricas.11431","modelo_svm - polynomial",0.8075,0.1925,0.84762,0.73832,0.84314,0.80233,3,5,"moviles122"
"resumen_metricas.2143","modelo_svm - radial",0.8925,0.1075,0.95238,0.82243,0.86275,0.94186,3,5,"moviles122"
"resumen_metricas.3143","modelo_svm - sigmoid",0.915,0.085,0.93333,0.92523,0.86275,0.94186,3,5,"moviles122"
"resumen_metricas201","modelo_svm - linear",0.96,0.04,0.94444,0.93939,0.96296,0.99029,1,1,"moviles131"
"resumen_metricas.1201","modelo_svm - polynomial",0.8275,0.1725,0.84444,0.76768,0.85185,0.84466,1,1,"moviles131"
"resumen_metricas.220","modelo_svm - radial",0.9025,0.0975,0.93333,0.87879,0.86111,0.94175,1,1,"moviles131"
"resumen_metricas.320","modelo_svm - sigmoid",0.8775,0.1225,0.95556,0.81818,0.85185,0.8932,1,1,"moviles131"
"resumen_metricas1141","modelo_svm - linear",0.9475,0.0525,0.99091,0.90654,0.91176,0.98765,1,2,"moviles131"
"resumen_metricas.11141","modelo_svm - polynomial",0.8275,0.1725,0.85455,0.73832,0.85294,0.87654,1,2,"moviles131"
"resumen_metricas.2114","modelo_svm - radial",0.9125,0.0875,0.93636,0.8785,0.87255,0.97531,1,2,"moviles131"
"resumen_metricas.3114","modelo_svm - sigmoid",0.915,0.085,0.90909,0.94393,0.86275,0.95062,1,2,"moviles131"
"resumen_metricas241","modelo_svm - linear",0.965,0.035,0.97727,0.9505,0.95098,0.98165,1,3,"moviles131"
"resumen_metricas.1241","modelo_svm - polynomial",0.8175,0.1825,0.88636,0.80198,0.80392,0.78899,1,3,"moviles131"
"resumen_metricas.224","modelo_svm - radial",0.8925,0.1075,0.93182,0.81188,0.89216,0.93578,1,3,"moviles131"
"resumen_metricas.324","modelo_svm - sigmoid",0.9025,0.0975,0.96591,0.86139,0.84314,0.94495,1,3,"moviles131"
"resumen_metricas341","modelo_svm - linear",0.97,0.03,0.9802,0.95098,0.96053,0.98347,1,4,"moviles131"
"resumen_metricas.1341","modelo_svm - polynomial",0.8075,0.1925,0.83168,0.84314,0.82895,0.7438,1,4,"moviles131"
"resumen_metricas.234","modelo_svm - radial",0.905,0.095,0.90099,0.88235,0.89474,0.93388,1,4,"moviles131"
"resumen_metricas.334","modelo_svm - sigmoid",0.8925,0.1075,0.91089,0.86275,0.88158,0.90909,1,4,"moviles131"
"resumen_metricas441","modelo_svm - linear",0.965,0.035,0.98198,0.94505,0.9375,1,1,5,"moviles131"
"resumen_metricas.1441","modelo_svm - polynomial",0.8225,0.1775,0.84685,0.84615,0.78571,0.81395,1,5,"moviles131"
"resumen_metricas.244","modelo_svm - radial",0.9075,0.0925,0.96396,0.84615,0.875,0.94186,1,5,"moviles131"
"resumen_metricas.344","modelo_svm - sigmoid",0.905,0.095,0.93694,0.87912,0.86607,0.94186,1,5,"moviles131"
"resumen_metricas541","modelo_svm - linear",0.9525,0.0475,0.92708,0.94595,0.93684,1,2,1,"moviles131"
"resumen_metricas.1541","modelo_svm - polynomial",0.7725,0.2275,0.77083,0.75676,0.82105,0.7449,2,1,"moviles131"
"resumen_metricas.254","modelo_svm - radial",0.8925,0.1075,0.9375,0.84685,0.84211,0.94898,2,1,"moviles131"
"resumen_metricas.354","modelo_svm - sigmoid",0.885,0.115,0.90625,0.83784,0.86316,0.93878,2,1,"moviles131"
"resumen_metricas641","modelo_svm - linear",0.9725,0.0275,0.9802,0.94624,0.9717,0.99,2,2,"moviles131"
"resumen_metricas.1641","modelo_svm - polynomial",0.8,0.2,0.80198,0.78495,0.76415,0.85,2,2,"moviles131"
"resumen_metricas.264","modelo_svm - radial",0.9025,0.0975,0.93069,0.88172,0.87736,0.92,2,2,"moviles131"
"resumen_metricas.364","modelo_svm - sigmoid",0.925,0.075,0.9604,0.88172,0.90566,0.95,2,2,"moviles131"
"resumen_metricas741","modelo_svm - linear",0.955,0.045,0.96907,0.96667,0.88235,1,2,3,"moviles131"
"resumen_metricas.1741","modelo_svm - polynomial",0.815,0.185,0.83505,0.82222,0.81373,0.79279,2,3,"moviles131"
"resumen_metricas.274","modelo_svm - radial",0.89,0.11,0.93814,0.87778,0.84314,0.9009,2,3,"moviles131"
"resumen_metricas.374","modelo_svm - sigmoid",0.895,0.105,0.94845,0.92222,0.79412,0.91892,2,3,"moviles131"
"resumen_metricas841","modelo_svm - linear",0.965,0.035,0.99029,0.94231,0.95699,0.97,2,4,"moviles131"
"resumen_metricas.1841","modelo_svm - polynomial",0.8,0.2,0.8835,0.73077,0.7957,0.79,2,4,"moviles131"
"resumen_metricas.284","modelo_svm - radial",0.8875,0.1125,0.91262,0.84615,0.88172,0.91,2,4,"moviles131"
"resumen_metricas.384","modelo_svm - sigmoid",0.9,0.1,0.95146,0.875,0.82796,0.94,2,4,"moviles131"
"resumen_metricas941","modelo_svm - linear",0.97,0.03,0.97087,0.97059,0.95192,0.98901,2,5,"moviles131"
"resumen_metricas.1941","modelo_svm - polynomial",0.8225,0.1775,0.83495,0.78431,0.83654,0.83516,2,5,"moviles131"
"resumen_metricas.294","modelo_svm - radial",0.9175,0.0825,0.95146,0.90196,0.89423,0.92308,2,5,"moviles131"
"resumen_metricas.394","modelo_svm - sigmoid",0.92,0.08,0.96117,0.90196,0.85577,0.96703,2,5,"moviles131"
"resumen_metricas1041","modelo_svm - linear",0.95,0.05,0.95506,0.94792,0.93913,0.96,3,1,"moviles131"
"resumen_metricas.11041","modelo_svm - polynomial",0.8075,0.1925,0.78652,0.80208,0.83478,0.8,3,1,"moviles131"
"resumen_metricas.2104","modelo_svm - radial",0.8875,0.1125,0.92135,0.89583,0.85217,0.89,3,1,"moviles131"
"resumen_metricas.3104","modelo_svm - sigmoid",0.8825,0.1175,0.94382,0.85417,0.83478,0.91,3,1,"moviles131"
"resumen_metricas1151","modelo_svm - linear",0.955,0.045,0.98925,0.92523,0.92079,0.9899,3,2,"moviles131"
"resumen_metricas.11151","modelo_svm - polynomial",0.8025,0.1975,0.87097,0.78505,0.78218,0.77778,3,2,"moviles131"
"resumen_metricas.2115","modelo_svm - radial",0.8875,0.1125,0.96774,0.8785,0.80198,0.90909,3,2,"moviles131"
"resumen_metricas.3115","modelo_svm - sigmoid",0.9175,0.0825,0.97849,0.86916,0.87129,0.9596,3,2,"moviles131"
"resumen_metricas1241","modelo_svm - linear",0.95,0.05,0.97196,0.91753,0.91837,0.9898,3,3,"moviles131"
"resumen_metricas.11241","modelo_svm - polynomial",0.8525,0.1475,0.84112,0.83505,0.85714,0.87755,3,3,"moviles131"
"resumen_metricas.2124","modelo_svm - radial",0.9175,0.0825,0.94393,0.85567,0.91837,0.94898,3,3,"moviles131"
"resumen_metricas.3124","modelo_svm - sigmoid",0.895,0.105,0.95327,0.83505,0.84694,0.93878,3,3,"moviles131"
"resumen_metricas1341","modelo_svm - linear",0.965,0.035,0.96939,0.93519,0.95604,1,3,4,"moviles131"
"resumen_metricas.11341","modelo_svm - polynomial",0.785,0.215,0.84694,0.73148,0.78022,0.78641,3,4,"moviles131"
"resumen_metricas.2134","modelo_svm - radial",0.8875,0.1125,0.97959,0.77778,0.87912,0.92233,3,4,"moviles131"
"resumen_metricas.3134","modelo_svm - sigmoid",0.92,0.08,0.89796,0.90741,0.9011,0.97087,3,4,"moviles131"
"resumen_metricas1441","modelo_svm - linear",0.965,0.035,0.9823,0.95652,0.92632,0.99,3,5,"moviles131"
"resumen_metricas.11441","modelo_svm - polynomial",0.84,0.16,0.84956,0.82609,0.84211,0.84,3,5,"moviles131"
"resumen_metricas.2144","modelo_svm - radial",0.9,0.1,0.9115,0.92391,0.85263,0.91,3,5,"moviles131"
"resumen_metricas.3144","modelo_svm - sigmoid",0.9175,0.0825,0.9823,0.8913,0.84211,0.94,3,5,"moviles131"
"resumen_metricas251","modelo_svm - linear",0.9625,0.0375,0.96907,0.96296,0.92157,1,1,1,"moviles132"
"resumen_metricas.1251","modelo_svm - polynomial",0.84,0.16,0.84536,0.89815,0.82353,0.78495,1,1,"moviles132"
"resumen_metricas.225","modelo_svm - radial",0.915,0.085,0.94845,0.92593,0.85294,0.93548,1,1,"moviles132"
"resumen_metricas.325","modelo_svm - sigmoid",0.9325,0.0675,0.93814,0.93519,0.90196,0.95699,1,1,"moviles132"
"resumen_metricas1161","modelo_svm - linear",0.9525,0.0475,0.97,0.9375,0.91111,0.98246,1,2,"moviles132"
"resumen_metricas.11161","modelo_svm - polynomial",0.8075,0.1925,0.85,0.77083,0.83333,0.7807,1,2,"moviles132"
"resumen_metricas.2116","modelo_svm - radial",0.905,0.095,0.89,0.875,0.92222,0.92982,1,2,"moviles132"
"resumen_metricas.3116","modelo_svm - sigmoid",0.9175,0.0825,0.93,0.89583,0.91111,0.92982,1,2,"moviles132"
"resumen_metricas261","modelo_svm - linear",0.96,0.04,0.9898,0.94175,0.95327,0.95652,1,3,"moviles132"
"resumen_metricas.1261","modelo_svm - polynomial",0.83,0.17,0.82653,0.84466,0.85047,0.79348,1,3,"moviles132"
"resumen_metricas.226","modelo_svm - radial",0.9075,0.0925,0.96939,0.86408,0.8785,0.92391,1,3,"moviles132"
"resumen_metricas.326","modelo_svm - sigmoid",0.9425,0.0575,0.9898,0.93204,0.90654,0.94565,1,3,"moviles132"
"resumen_metricas351","modelo_svm - linear",0.9525,0.0475,0.94949,0.93269,0.94175,0.98936,1,4,"moviles132"
"resumen_metricas.1351","modelo_svm - polynomial",0.795,0.205,0.83838,0.75962,0.79612,0.78723,1,4,"moviles132"
"resumen_metricas.235","modelo_svm - radial",0.91,0.09,0.91919,0.90385,0.85437,0.96809,1,4,"moviles132"
"resumen_metricas.335","modelo_svm - sigmoid",0.925,0.075,0.90909,0.92308,0.8835,0.98936,1,4,"moviles132"
"resumen_metricas451","modelo_svm - linear",0.9625,0.0375,0.98113,0.94382,0.93878,0.98131,1,5,"moviles132"
"resumen_metricas.1451","modelo_svm - polynomial",0.825,0.175,0.83962,0.79775,0.92857,0.73832,1,5,"moviles132"
"resumen_metricas.245","modelo_svm - radial",0.9225,0.0775,0.98113,0.89888,0.87755,0.92523,1,5,"moviles132"
"resumen_metricas.345","modelo_svm - sigmoid",0.9225,0.0775,0.95283,0.88764,0.88776,0.95327,1,5,"moviles132"
"resumen_metricas551","modelo_svm - linear",0.965,0.035,0.98058,0.91579,0.97087,0.9899,2,1,"moviles132"
"resumen_metricas.1551","modelo_svm - polynomial",0.8525,0.1475,0.87379,0.90526,0.80583,0.82828,2,1,"moviles132"
"resumen_metricas.255","modelo_svm - radial",0.9225,0.0775,0.97087,0.88421,0.8835,0.94949,2,1,"moviles132"
"resumen_metricas.355","modelo_svm - sigmoid",0.925,0.075,0.94175,0.93684,0.85437,0.9697,2,1,"moviles132"
"resumen_metricas651","modelo_svm - linear",0.9575,0.0425,0.97826,0.94059,0.92233,0.99038,2,2,"moviles132"
"resumen_metricas.1651","modelo_svm - polynomial",0.7725,0.2275,0.82609,0.77228,0.7767,0.72115,2,2,"moviles132"
"resumen_metricas.265","modelo_svm - radial",0.88,0.12,0.94565,0.87129,0.79612,0.91346,2,2,"moviles132"
"resumen_metricas.365","modelo_svm - sigmoid",0.935,0.065,0.94565,0.91089,0.95146,0.93269,2,2,"moviles132"
"resumen_metricas751","modelo_svm - linear",0.9725,0.0275,0.99029,0.91579,0.97959,1,2,3,"moviles132"
"resumen_metricas.1751","modelo_svm - polynomial",0.83,0.17,0.86408,0.82105,0.89796,0.74038,2,3,"moviles132"
"resumen_metricas.275","modelo_svm - radial",0.92,0.08,0.96117,0.87368,0.92857,0.91346,2,3,"moviles132"
"resumen_metricas.375","modelo_svm - sigmoid",0.93,0.07,0.97087,0.90526,0.91837,0.92308,2,3,"moviles132"
"resumen_metricas851","modelo_svm - linear",0.9675,0.0325,0.94949,0.9899,0.9375,1,2,4,"moviles132"
"resumen_metricas.1851","modelo_svm - polynomial",0.83,0.17,0.80808,0.85859,0.82143,0.83333,2,4,"moviles132"
"resumen_metricas.285","modelo_svm - radial",0.905,0.095,0.92929,0.88889,0.85714,0.95556,2,4,"moviles132"
"resumen_metricas.385","modelo_svm - sigmoid",0.93,0.07,0.9899,0.93939,0.83929,0.96667,2,4,"moviles132"
"resumen_metricas951","modelo_svm - linear",0.955,0.045,0.99029,0.94545,0.91667,0.96117,2,5,"moviles132"
"resumen_metricas.1951","modelo_svm - polynomial",0.8125,0.1875,0.83495,0.77273,0.88095,0.7767,2,5,"moviles132"
"resumen_metricas.295","modelo_svm - radial",0.895,0.105,0.8932,0.89091,0.86905,0.92233,2,5,"moviles132"
"resumen_metricas.395","modelo_svm - sigmoid",0.9125,0.0875,0.97087,0.87273,0.88095,0.92233,2,5,"moviles132"
"resumen_metricas1051","modelo_svm - linear",0.94,0.06,0.99065,0.91429,0.86957,0.97917,3,1,"moviles132"
"resumen_metricas.11051","modelo_svm - polynomial",0.7925,0.2075,0.78505,0.80952,0.88043,0.69792,3,1,"moviles132"
"resumen_metricas.2105","modelo_svm - radial",0.8925,0.1075,0.94393,0.8381,0.88043,0.90625,3,1,"moviles132"
"resumen_metricas.3105","modelo_svm - sigmoid",0.91,0.09,0.93458,0.87619,0.90217,0.92708,3,1,"moviles132"
"resumen_metricas1171","modelo_svm - linear",0.96,0.04,0.98214,0.88764,0.95699,1,3,2,"moviles132"
"resumen_metricas.11171","modelo_svm - polynomial",0.8325,0.1675,0.86607,0.79775,0.93548,0.73585,3,2,"moviles132"
"resumen_metricas.2117","modelo_svm - radial",0.91,0.09,0.95536,0.82022,0.94624,0.90566,3,2,"moviles132"
"resumen_metricas.3117","modelo_svm - sigmoid",0.945,0.055,0.92857,0.91011,0.94624,0.99057,3,2,"moviles132"
"resumen_metricas1251","modelo_svm - linear",0.96,0.04,0.97802,0.94286,0.93269,0.99,3,3,"moviles132"
"resumen_metricas.11251","modelo_svm - polynomial",0.8025,0.1975,0.8022,0.86667,0.83654,0.7,3,3,"moviles132"
"resumen_metricas.2125","modelo_svm - radial",0.8975,0.1025,0.92308,0.90476,0.85577,0.91,3,3,"moviles132"
"resumen_metricas.3125","modelo_svm - sigmoid",0.93,0.07,0.96703,0.93333,0.875,0.95,3,3,"moviles132"
"resumen_metricas1351","modelo_svm - linear",0.9625,0.0375,0.98876,0.94949,0.92593,0.99038,3,4,"moviles132"
"resumen_metricas.11351","modelo_svm - polynomial",0.8175,0.1825,0.89888,0.79798,0.74074,0.84615,3,4,"moviles132"
"resumen_metricas.2135","modelo_svm - radial",0.91,0.09,0.96629,0.88889,0.80556,0.99038,3,4,"moviles132"
"resumen_metricas.3135","modelo_svm - sigmoid",0.9375,0.0625,0.98876,0.93939,0.87037,0.96154,3,4,"moviles132"
"resumen_metricas1451","modelo_svm - linear",0.9475,0.0525,0.9604,0.93137,0.93204,0.96809,3,5,"moviles132"
"resumen_metricas.11451","modelo_svm - polynomial",0.8025,0.1975,0.84158,0.81373,0.75728,0.79787,3,5,"moviles132"
"resumen_metricas.2145","modelo_svm - radial",0.875,0.125,0.90099,0.87255,0.81553,0.91489,3,5,"moviles132"
"resumen_metricas.3145","modelo_svm - sigmoid",0.91,0.09,0.93069,0.89216,0.85437,0.96809,3,5,"moviles132"
"resumen_metricas271","modelo_svm - linear",0.95202,0.04798,0.9596,0.94624,0.90566,1,1,1,"moviles211"
"resumen_metricas.1271","modelo_svm - polynomial",0.80051,0.19949,0.77778,0.7957,0.83962,0.78571,1,1,"moviles211"
"resumen_metricas.227","modelo_svm - radial",0.86616,0.13384,0.89899,0.8172,0.82075,0.92857,1,1,"moviles211"
"resumen_metricas.327","modelo_svm - sigmoid",0.89394,0.10606,0.91919,0.86022,0.82075,0.97959,1,1,"moviles211"
"resumen_metricas1181","modelo_svm - linear",0.96717,0.03283,0.99038,0.95146,0.92857,0.99048,1,2,"moviles211"
"resumen_metricas.11181","modelo_svm - polynomial",0.83333,0.16667,0.83654,0.82524,0.88095,0.8,1,2,"moviles211"
"resumen_metricas.2118","modelo_svm - radial",0.92172,0.07828,0.96154,0.91262,0.88095,0.92381,1,2,"moviles211"
"resumen_metricas.3118","modelo_svm - sigmoid",0.90657,0.09343,0.95192,0.86408,0.83333,0.9619,1,2,"moviles211"
"resumen_metricas281","modelo_svm - linear",0.95455,0.04545,0.98039,0.93069,0.93396,0.97701,1,3,"moviles211"
"resumen_metricas.1281","modelo_svm - polynomial",0.82828,0.17172,0.88235,0.80198,0.80189,0.82759,1,3,"moviles211"
"resumen_metricas.228","modelo_svm - radial",0.90152,0.09848,0.93137,0.91089,0.82075,0.95402,1,3,"moviles211"
"resumen_metricas.328","modelo_svm - sigmoid",0.89899,0.10101,0.96078,0.88119,0.83019,0.93103,1,3,"moviles211"
"resumen_metricas361","modelo_svm - linear",0.9798,0.0202,0.97917,0.9505,0.98913,1,1,4,"moviles211"
"resumen_metricas.1361","modelo_svm - polynomial",0.82323,0.17677,0.79167,0.84158,0.83696,0.82243,1,4,"moviles211"
"resumen_metricas.236","modelo_svm - radial",0.91667,0.08333,0.92708,0.88119,0.93478,0.92523,1,4,"moviles211"
"resumen_metricas.336","modelo_svm - sigmoid",0.90909,0.09091,0.92708,0.88119,0.90217,0.92523,1,4,"moviles211"
"resumen_metricas461","modelo_svm - linear",0.97475,0.02525,0.97895,0.97938,0.96296,0.97917,1,5,"moviles211"
"resumen_metricas.1461","modelo_svm - polynomial",0.80808,0.19192,0.81053,0.7732,0.80556,0.84375,1,5,"moviles211"
"resumen_metricas.246","modelo_svm - radial",0.92172,0.07828,0.96842,0.91753,0.87037,0.9375,1,5,"moviles211"
"resumen_metricas.346","modelo_svm - sigmoid",0.91919,0.08081,0.96842,0.92784,0.85185,0.9375,1,5,"moviles211"
"resumen_metricas561","modelo_svm - linear",0.94949,0.05051,0.98947,0.89189,0.9375,0.98936,2,1,"moviles211"
"resumen_metricas.1561","modelo_svm - polynomial",0.81313,0.18687,0.84211,0.79279,0.82292,0.79787,2,1,"moviles211"
"resumen_metricas.256","modelo_svm - radial",0.90657,0.09343,0.97895,0.81982,0.89583,0.94681,2,1,"moviles211"
"resumen_metricas.356","modelo_svm - sigmoid",0.89394,0.10606,0.96842,0.81982,0.875,0.92553,2,1,"moviles211"
"resumen_metricas661","modelo_svm - linear",0.97222,0.02778,0.95495,0.98876,0.96078,0.98936,2,2,"moviles211"
"resumen_metricas.1661","modelo_svm - polynomial",0.83333,0.16667,0.84685,0.83146,0.84314,0.80851,2,2,"moviles211"
"resumen_metricas.266","modelo_svm - radial",0.91414,0.08586,0.95495,0.88764,0.90196,0.90426,2,2,"moviles211"
"resumen_metricas.366","modelo_svm - sigmoid",0.91667,0.08333,0.93694,0.94382,0.83333,0.95745,2,2,"moviles211"
"resumen_metricas761","modelo_svm - linear",0.97475,0.02525,0.97753,0.9505,0.97297,1,2,3,"moviles211"
"resumen_metricas.1761","modelo_svm - polynomial",0.82828,0.17172,0.85393,0.84158,0.78378,0.84211,2,3,"moviles211"
"resumen_metricas.276","modelo_svm - radial",0.91162,0.08838,0.94382,0.87129,0.86486,0.97895,2,3,"moviles211"
"resumen_metricas.376","modelo_svm - sigmoid",0.91919,0.08081,0.94382,0.89109,0.90991,0.93684,2,3,"moviles211"
"resumen_metricas861","modelo_svm - linear",0.95202,0.04798,0.98131,0.88889,0.94792,0.98936,2,4,"moviles211"
"resumen_metricas.1861","modelo_svm - polynomial",0.81818,0.18182,0.86916,0.75758,0.8125,0.82979,2,4,"moviles211"
"resumen_metricas.286","modelo_svm - radial",0.88384,0.11616,0.93458,0.81818,0.82292,0.95745,2,4,"moviles211"
"resumen_metricas.386","modelo_svm - sigmoid",0.90152,0.09848,0.91589,0.86869,0.85417,0.96809,2,4,"moviles211"
"resumen_metricas961","modelo_svm - linear",0.97475,0.02525,0.97872,0.96842,0.96703,0.98276,2,5,"moviles211"
"resumen_metricas.1961","modelo_svm - polynomial",0.82071,0.17929,0.78723,0.77895,0.87912,0.83621,2,5,"moviles211"
"resumen_metricas.296","modelo_svm - radial",0.89141,0.10859,0.91489,0.86316,0.85714,0.92241,2,5,"moviles211"
"resumen_metricas.396","modelo_svm - sigmoid",0.89646,0.10354,0.90426,0.91579,0.86813,0.89655,2,5,"moviles211"
"resumen_metricas1061","modelo_svm - linear",0.9697,0.0303,0.9878,0.94643,0.9619,0.98969,3,1,"moviles211"
"resumen_metricas.11061","modelo_svm - polynomial",0.81313,0.18687,0.90244,0.75893,0.82857,0.78351,3,1,"moviles211"
"resumen_metricas.2106","modelo_svm - radial",0.90152,0.09848,0.97561,0.85714,0.89524,0.89691,3,1,"moviles211"
"resumen_metricas.3106","modelo_svm - sigmoid",0.90909,0.09091,0.93902,0.89286,0.8381,0.97938,3,1,"moviles211"
"resumen_metricas1191","modelo_svm - linear",0.97475,0.02525,0.99065,0.95699,0.96774,0.98058,3,2,"moviles211"
"resumen_metricas.11191","modelo_svm - polynomial",0.78283,0.21717,0.76636,0.74194,0.87097,0.75728,3,2,"moviles211"
"resumen_metricas.2119","modelo_svm - radial",0.89899,0.10101,0.93458,0.84946,0.87097,0.93204,3,2,"moviles211"
"resumen_metricas.3119","modelo_svm - sigmoid",0.91919,0.08081,0.96262,0.92473,0.88172,0.90291,3,2,"moviles211"
"resumen_metricas1261","modelo_svm - linear",0.96717,0.03283,0.95283,0.96667,0.95699,0.99065,3,3,"moviles211"
"resumen_metricas.11261","modelo_svm - polynomial",0.80051,0.19949,0.82075,0.74444,0.83871,0.79439,3,3,"moviles211"
"resumen_metricas.2126","modelo_svm - radial",0.90152,0.09848,0.93396,0.87778,0.84946,0.93458,3,3,"moviles211"
"resumen_metricas.3126","modelo_svm - sigmoid",0.91162,0.08838,0.92453,0.88889,0.91398,0.91589,3,3,"moviles211"
"resumen_metricas1361","modelo_svm - linear",0.97222,0.02778,1,0.96703,0.94444,0.98077,3,4,"moviles211"
"resumen_metricas.11361","modelo_svm - polynomial",0.83333,0.16667,0.87097,0.87912,0.77778,0.81731,3,4,"moviles211"
"resumen_metricas.2136","modelo_svm - radial",0.90909,0.09091,0.96774,0.91209,0.81481,0.95192,3,4,"moviles211"
"resumen_metricas.3136","modelo_svm - sigmoid",0.91667,0.08333,0.97849,0.9011,0.87037,0.92308,3,4,"moviles211"
"resumen_metricas1461","modelo_svm - linear",0.96717,0.03283,0.97222,0.95413,0.94845,1,3,5,"moviles211"
"resumen_metricas.11461","modelo_svm - polynomial",0.81313,0.18687,0.83333,0.79817,0.78351,0.84146,3,5,"moviles211"
"resumen_metricas.2146","modelo_svm - radial",0.89394,0.10606,0.94444,0.85321,0.83505,0.95122,3,5,"moviles211"
"resumen_metricas.3146","modelo_svm - sigmoid",0.88131,0.11869,0.93519,0.83486,0.80412,0.96341,3,5,"moviles211"
"resumen_metricas291","modelo_svm - linear",0.97222,0.02778,0.9902,0.95789,0.96939,0.9703,1,1,"moviles212"
"resumen_metricas.1291","modelo_svm - polynomial",0.82071,0.17929,0.82353,0.87368,0.83673,0.75248,1,1,"moviles212"
"resumen_metricas.229","modelo_svm - radial",0.91919,0.08081,0.97059,0.88421,0.89796,0.92079,1,1,"moviles212"
"resumen_metricas.329","modelo_svm - sigmoid",0.92424,0.07576,0.97059,0.91579,0.88776,0.92079,1,1,"moviles212"
"resumen_metricas1201","modelo_svm - linear",0.9596,0.0404,0.93617,0.93913,0.97059,1,1,2,"moviles212"
"resumen_metricas.11201","modelo_svm - polynomial",0.7904,0.2096,0.78723,0.7913,0.77451,0.81176,1,2,"moviles212"
"resumen_metricas.2120","modelo_svm - radial",0.90657,0.09343,0.89362,0.88696,0.88235,0.97647,1,2,"moviles212"
"resumen_metricas.3120","modelo_svm - sigmoid",0.92424,0.07576,0.93617,0.92174,0.89216,0.95294,1,2,"moviles212"
"resumen_metricas2101","modelo_svm - linear",0.95455,0.04545,0.98113,0.93103,0.91346,0.9899,1,3,"moviles212"
"resumen_metricas.12101","modelo_svm - polynomial",0.83838,0.16162,0.89623,0.8046,0.83654,0.80808,1,3,"moviles212"
"resumen_metricas.2210","modelo_svm - radial",0.90657,0.09343,0.9717,0.89655,0.81731,0.93939,1,3,"moviles212"
"resumen_metricas.3210","modelo_svm - sigmoid",0.93687,0.06313,0.95283,0.93103,0.90385,0.9596,1,3,"moviles212"
"resumen_metricas371","modelo_svm - linear",0.96717,0.03283,0.98095,0.96739,0.92308,0.99074,1,4,"moviles212"
"resumen_metricas.1371","modelo_svm - polynomial",0.82071,0.17929,0.82857,0.86957,0.85714,0.74074,1,4,"moviles212"
"resumen_metricas.237","modelo_svm - radial",0.89646,0.10354,0.87619,0.94565,0.87912,0.88889,1,4,"moviles212"
"resumen_metricas.337","modelo_svm - sigmoid",0.93687,0.06313,0.95238,0.96739,0.86813,0.9537,1,4,"moviles212"
