"","Modelo","overall_accuracy","overall_error","Factor_0_Accuracy","Factor_1_Accuracy","Factor_2_Accuracy","Factor_3_Accuracy","Detalle_1","experimento","grupo","dataset"
"resumen_metricas.1281","modelo_svm - polynomial",0.78788,0.21212,0.80645,0.81633,0.75,0.78652,"detalle_1",1,3,"moviles211"
"resumen_metricas.228","modelo_svm - radial",0.89899,0.10101,0.91398,0.88776,0.88793,0.91011,"detalle_1",1,3,"moviles211"
"resumen_metricas.328","modelo_svm - sigmoid",0.90909,0.09091,0.95699,0.91837,0.87069,0.89888,"detalle_1",1,3,"moviles211"
"resumen_metricas361","modelo_svm - linear",0.95707,0.04293,0.9604,0.91837,0.94898,1,"detalle_1",1,4,"moviles211"
"resumen_metricas.1361","modelo_svm - polynomial",0.81566,0.18434,0.82178,0.79592,0.82653,0.81818,"detalle_1",1,4,"moviles211"
"resumen_metricas.236","modelo_svm - radial",0.88889,0.11111,0.90099,0.86735,0.83673,0.94949,"detalle_1",1,4,"moviles211"
"resumen_metricas.336","modelo_svm - sigmoid",0.89899,0.10101,0.94059,0.86735,0.81633,0.9697,"detalle_1",1,4,"moviles211"
"resumen_metricas461","modelo_svm - linear",0.94949,0.05051,0.9697,0.95238,0.88172,0.9899,"detalle_1",1,5,"moviles211"
"resumen_metricas.1461","modelo_svm - polynomial",0.83081,0.16919,0.82828,0.82857,0.78495,0.87879,"detalle_1",1,5,"moviles211"
"resumen_metricas.246","modelo_svm - radial",0.90657,0.09343,0.94949,0.88571,0.8172,0.9697,"detalle_1",1,5,"moviles211"
"resumen_metricas.346","modelo_svm - sigmoid",0.88384,0.11616,0.93939,0.88571,0.8172,0.88889,"detalle_1",1,5,"moviles211"
"resumen_metricas561","modelo_svm - linear",0.97475,0.02525,0.95327,0.95181,0.98969,1,"detalle_1",2,1,"moviles211"
"resumen_metricas.1561","modelo_svm - polynomial",0.83838,0.16162,0.84112,0.81928,0.86598,0.82569,"detalle_1",2,1,"moviles211"
"resumen_metricas.256","modelo_svm - radial",0.90152,0.09848,0.92523,0.87952,0.85567,0.93578,"detalle_1",2,1,"moviles211"
"resumen_metricas.356","modelo_svm - sigmoid",0.91162,0.08838,0.94393,0.87952,0.8866,0.92661,"detalle_1",2,1,"moviles211"
"resumen_metricas661","modelo_svm - linear",0.96465,0.03535,0.99057,0.92523,0.95789,0.98864,"detalle_1",2,2,"moviles211"
"resumen_metricas.1661","modelo_svm - polynomial",0.79798,0.20202,0.79245,0.7757,0.83158,0.79545,"detalle_1",2,2,"moviles211"
"resumen_metricas.266","modelo_svm - radial",0.89646,0.10354,0.9717,0.81308,0.90526,0.89773,"detalle_1",2,2,"moviles211"
"resumen_metricas.366","modelo_svm - sigmoid",0.91414,0.08586,0.95283,0.92523,0.85263,0.92045,"detalle_1",2,2,"moviles211"
"resumen_metricas761","modelo_svm - linear",0.96465,0.03535,0.97849,0.93269,0.95192,1,"detalle_1",2,3,"moviles211"
"resumen_metricas.1761","modelo_svm - polynomial",0.80051,0.19949,0.84946,0.75,0.78846,0.82105,"detalle_1",2,3,"moviles211"
"resumen_metricas.276","modelo_svm - radial",0.87374,0.12626,0.93548,0.81731,0.81731,0.93684,"detalle_1",2,3,"moviles211"
"resumen_metricas.376","modelo_svm - sigmoid",0.90909,0.09091,0.95699,0.875,0.85577,0.95789,"detalle_1",2,3,"moviles211"
"resumen_metricas861","modelo_svm - linear",0.95202,0.04798,0.93258,0.93,0.95192,0.99029,"detalle_1",2,4,"moviles211"
"resumen_metricas.1861","modelo_svm - polynomial",0.82828,0.17172,0.8427,0.83,0.85577,0.78641,"detalle_1",2,4,"moviles211"
"resumen_metricas.286","modelo_svm - radial",0.90404,0.09596,0.93258,0.9,0.88462,0.90291,"detalle_1",2,4,"moviles211"
"resumen_metricas.386","modelo_svm - sigmoid",0.89646,0.10354,0.92135,0.88,0.85577,0.93204,"detalle_1",2,4,"moviles211"
"resumen_metricas961","modelo_svm - linear",0.96717,0.03283,0.9901,0.9901,0.90625,0.97959,"detalle_1",2,5,"moviles211"
"resumen_metricas.1961","modelo_svm - polynomial",0.82071,0.17929,0.82178,0.82178,0.83333,0.80612,"detalle_1",2,5,"moviles211"
"resumen_metricas.296","modelo_svm - radial",0.89141,0.10859,0.90099,0.86139,0.85417,0.94898,"detalle_1",2,5,"moviles211"
"resumen_metricas.396","modelo_svm - sigmoid",0.90657,0.09343,0.91089,0.89109,0.84375,0.97959,"detalle_1",2,5,"moviles211"
"resumen_metricas1061","modelo_svm - linear",0.9596,0.0404,0.96226,0.91753,0.96703,0.9902,"detalle_1",3,1,"moviles211"
"resumen_metricas.11061","modelo_svm - polynomial",0.80556,0.19444,0.84906,0.75258,0.87912,0.7451,"detalle_1",3,1,"moviles211"
"resumen_metricas.2106","modelo_svm - radial",0.89394,0.10606,0.90566,0.85567,0.9011,0.91176,"detalle_1",3,1,"moviles211"
"resumen_metricas.3106","modelo_svm - sigmoid",0.92677,0.07323,0.9434,0.91753,0.89011,0.95098,"detalle_1",3,1,"moviles211"
"resumen_metricas1191","modelo_svm - linear",0.96212,0.03788,0.96296,0.92632,0.96875,0.98969,"detalle_1",3,2,"moviles211"
"resumen_metricas.11191","modelo_svm - polynomial",0.86616,0.13384,0.88889,0.82105,0.875,0.87629,"detalle_1",3,2,"moviles211"
"resumen_metricas.2119","modelo_svm - radial",0.90657,0.09343,0.91667,0.87368,0.90625,0.92784,"detalle_1",3,2,"moviles211"
"resumen_metricas.3119","modelo_svm - sigmoid",0.92424,0.07576,0.94444,0.91579,0.91667,0.91753,"detalle_1",3,2,"moviles211"
"resumen_metricas1261","modelo_svm - linear",0.95455,0.04545,0.9899,0.96842,0.87619,0.98969,"detalle_1",3,3,"moviles211"
"resumen_metricas.11261","modelo_svm - polynomial",0.82828,0.17172,0.79798,0.82105,0.81905,0.87629,"detalle_1",3,3,"moviles211"
"resumen_metricas.2126","modelo_svm - radial",0.87626,0.12374,0.93939,0.87368,0.78095,0.91753,"detalle_1",3,3,"moviles211"
"resumen_metricas.3126","modelo_svm - sigmoid",0.89394,0.10606,0.9697,0.88421,0.80952,0.91753,"detalle_1",3,3,"moviles211"
"resumen_metricas1361","modelo_svm - linear",0.96212,0.03788,0.9759,0.93204,0.97222,0.97059,"detalle_1",3,4,"moviles211"
"resumen_metricas.11361","modelo_svm - polynomial",0.81313,0.18687,0.84337,0.80583,0.81481,0.79412,"detalle_1",3,4,"moviles211"
"resumen_metricas.2136","modelo_svm - radial",0.88636,0.11364,0.93976,0.80583,0.86111,0.95098,"detalle_1",3,4,"moviles211"
"resumen_metricas.3136","modelo_svm - sigmoid",0.87374,0.12626,0.93976,0.79612,0.84259,0.93137,"detalle_1",3,4,"moviles211"
"resumen_metricas1461","modelo_svm - linear",0.98232,0.01768,0.99,0.98095,0.95833,1,"detalle_1",3,5,"moviles211"
"resumen_metricas.11461","modelo_svm - polynomial",0.81061,0.18939,0.82,0.79048,0.84375,0.78947,"detalle_1",3,5,"moviles211"
"resumen_metricas.2146","modelo_svm - radial",0.91667,0.08333,0.93,0.88571,0.90625,0.94737,"detalle_1",3,5,"moviles211"
"resumen_metricas.3146","modelo_svm - sigmoid",0.89646,0.10354,0.94,0.87619,0.8125,0.95789,"detalle_1",3,5,"moviles211"
"resumen_metricas291","modelo_svm - linear",0.9697,0.0303,0.9899,0.96774,0.95098,0.97059,"detalle_1",1,1,"moviles212"
"resumen_metricas.1291","modelo_svm - polynomial",0.82071,0.17929,0.78788,0.83871,0.89216,0.76471,"detalle_1",1,1,"moviles212"
"resumen_metricas.229","modelo_svm - radial",0.92424,0.07576,0.93939,0.89247,0.93137,0.93137,"detalle_1",1,1,"moviles212"
"resumen_metricas.329","modelo_svm - sigmoid",0.92172,0.07828,0.93939,0.92473,0.90196,0.92157,"detalle_1",1,1,"moviles212"
"resumen_metricas1201","modelo_svm - linear",0.96212,0.03788,0.97,0.96703,0.91892,1,"detalle_1",1,2,"moviles212"
"resumen_metricas.11201","modelo_svm - polynomial",0.78788,0.21212,0.75,0.76923,0.78378,0.85106,"detalle_1",1,2,"moviles212"
"resumen_metricas.2120","modelo_svm - radial",0.90152,0.09848,0.93,0.85714,0.85586,0.96809,"detalle_1",1,2,"moviles212"
"resumen_metricas.3120","modelo_svm - sigmoid",0.92929,0.07071,0.94,0.92308,0.9009,0.95745,"detalle_1",1,2,"moviles212"
"resumen_metricas2101","modelo_svm - linear",0.9697,0.0303,0.97196,0.95238,0.97826,0.97826,"detalle_1",1,3,"moviles212"
"resumen_metricas.12101","modelo_svm - polynomial",0.83586,0.16414,0.85047,0.78095,0.86957,0.84783,"detalle_1",1,3,"moviles212"
"resumen_metricas.2210","modelo_svm - radial",0.90909,0.09091,0.95327,0.88571,0.84783,0.94565,"detalle_1",1,3,"moviles212"
"resumen_metricas.3210","modelo_svm - sigmoid",0.92677,0.07323,0.97196,0.90476,0.88043,0.94565,"detalle_1",1,3,"moviles212"
"resumen_metricas371","modelo_svm - linear",0.95202,0.04798,0.98936,0.90196,0.92391,0.99074,"detalle_1",1,4,"moviles212"
"resumen_metricas.1371","modelo_svm - polynomial",0.80051,0.19949,0.87234,0.78431,0.82609,0.73148,"detalle_1",1,4,"moviles212"
"resumen_metricas.237","modelo_svm - radial",0.87121,0.12879,0.92553,0.82353,0.88043,0.86111,"detalle_1",1,4,"moviles212"
"resumen_metricas.337","modelo_svm - sigmoid",0.91919,0.08081,0.97872,0.89216,0.83696,0.96296,"detalle_1",1,4,"moviles212"
"resumen_metricas471","modelo_svm - linear",0.9596,0.0404,0.94792,0.95192,0.9596,0.97938,"detalle_1",1,5,"moviles212"
"resumen_metricas.1471","modelo_svm - polynomial",0.79545,0.20455,0.80208,0.80769,0.84848,0.72165,"detalle_1",1,5,"moviles212"
"resumen_metricas.247","modelo_svm - radial",0.89646,0.10354,0.94792,0.875,0.87879,0.8866,"detalle_1",1,5,"moviles212"
"resumen_metricas.347","modelo_svm - sigmoid",0.92172,0.07828,0.94792,0.90385,0.87879,0.95876,"detalle_1",1,5,"moviles212"
"resumen_metricas571","modelo_svm - linear",0.95202,0.04798,0.9604,0.94624,0.93162,0.97647,"detalle_1",2,1,"moviles212"
"resumen_metricas.1571","modelo_svm - polynomial",0.79798,0.20202,0.80198,0.7957,0.81197,0.77647,"detalle_1",2,1,"moviles212"
"resumen_metricas.257","modelo_svm - radial",0.88636,0.11364,0.93069,0.86022,0.82051,0.95294,"detalle_1",2,1,"moviles212"
"resumen_metricas.357","modelo_svm - sigmoid",0.90404,0.09596,0.9505,0.93548,0.82051,0.92941,"detalle_1",2,1,"moviles212"
"resumen_metricas671","modelo_svm - linear",0.93939,0.06061,0.93204,0.92105,0.92308,0.98864,"detalle_1",2,2,"moviles212"
"resumen_metricas.1671","modelo_svm - polynomial",0.79545,0.20455,0.81553,0.78947,0.87912,0.69318,"detalle_1",2,2,"moviles212"
"resumen_metricas.267","modelo_svm - radial",0.89394,0.10606,0.90291,0.91228,0.86813,0.88636,"detalle_1",2,2,"moviles212"
"resumen_metricas.367","modelo_svm - sigmoid",0.92172,0.07828,0.93204,0.91228,0.93407,0.90909,"detalle_1",2,2,"moviles212"
"resumen_metricas771","modelo_svm - linear",0.94697,0.05303,0.9901,0.87234,0.94681,0.97196,"detalle_1",2,3,"moviles212"
"resumen_metricas.1771","modelo_svm - polynomial",0.82576,0.17424,0.83168,0.84043,0.8617,0.7757,"detalle_1",2,3,"moviles212"
"resumen_metricas.277","modelo_svm - radial",0.91414,0.08586,0.9604,0.87234,0.89362,0.92523,"detalle_1",2,3,"moviles212"
"resumen_metricas.377","modelo_svm - sigmoid",0.92424,0.07576,0.9604,0.89362,0.91489,0.92523,"detalle_1",2,3,"moviles212"
"resumen_metricas871","modelo_svm - linear",0.97222,0.02778,0.98,0.96907,0.93548,1,"detalle_1",2,4,"moviles212"
"resumen_metricas.1871","modelo_svm - polynomial",0.84848,0.15152,0.86,0.87629,0.86022,0.80189,"detalle_1",2,4,"moviles212"
"resumen_metricas.287","modelo_svm - radial",0.91919,0.08081,0.96,0.86598,0.90323,0.9434,"detalle_1",2,4,"moviles212"
"resumen_metricas.387","modelo_svm - sigmoid",0.9596,0.0404,0.95,0.93814,0.95699,0.99057,"detalle_1",2,4,"moviles212"
"resumen_metricas971","modelo_svm - linear",0.94949,0.05051,0.96703,0.94845,0.90099,0.98131,"detalle_1",2,5,"moviles212"
"resumen_metricas.1971","modelo_svm - polynomial",0.81818,0.18182,0.85714,0.80412,0.82178,0.79439,"detalle_1",2,5,"moviles212"
"resumen_metricas.297","modelo_svm - radial",0.89141,0.10859,0.96703,0.83505,0.84158,0.92523,"detalle_1",2,5,"moviles212"
"resumen_metricas.397","modelo_svm - sigmoid",0.91667,0.08333,0.96703,0.90722,0.85149,0.94393,"detalle_1",2,5,"moviles212"
"resumen_metricas1071","modelo_svm - linear",0.95455,0.04545,0.95918,0.9596,0.90566,1,"detalle_1",3,1,"moviles212"
"resumen_metricas.11071","modelo_svm - polynomial",0.84343,0.15657,0.88776,0.83838,0.86792,0.77419,"detalle_1",3,1,"moviles212"
"resumen_metricas.2107","modelo_svm - radial",0.90404,0.09596,0.94898,0.89899,0.83019,0.94624,"detalle_1",3,1,"moviles212"
"resumen_metricas.3107","modelo_svm - sigmoid",0.90152,0.09848,0.91837,0.88889,0.85849,0.94624,"detalle_1",3,1,"moviles212"
"resumen_metricas11101","modelo_svm - linear",0.95707,0.04293,0.96429,0.94286,0.91837,1,"detalle_1",3,2,"moviles212"
"resumen_metricas.111101","modelo_svm - polynomial",0.80051,0.19949,0.84524,0.81905,0.78571,0.76147,"detalle_1",3,2,"moviles212"
"resumen_metricas.21110","modelo_svm - radial",0.87121,0.12879,0.91667,0.8381,0.84694,0.88991,"detalle_1",3,2,"moviles212"
"resumen_metricas.31110","modelo_svm - sigmoid",0.91919,0.08081,0.97619,0.89524,0.85714,0.95413,"detalle_1",3,2,"moviles212"
"resumen_metricas1271","modelo_svm - linear",0.95202,0.04798,0.9703,0.93137,0.94845,0.95833,"detalle_1",3,3,"moviles212"
"resumen_metricas.11271","modelo_svm - polynomial",0.79293,0.20707,0.83168,0.76471,0.81443,0.76042,"detalle_1",3,3,"moviles212"
"resumen_metricas.2127","modelo_svm - radial",0.87626,0.12374,0.93069,0.84314,0.83505,0.89583,"detalle_1",3,3,"moviles212"
"resumen_metricas.3127","modelo_svm - sigmoid",0.93939,0.06061,0.9703,0.93137,0.89691,0.95833,"detalle_1",3,3,"moviles212"
"resumen_metricas1371","modelo_svm - linear",0.96212,0.03788,0.9633,0.94845,0.98,0.95556,"detalle_1",3,4,"moviles212"
"resumen_metricas.11371","modelo_svm - polynomial",0.83333,0.16667,0.80734,0.79381,0.93,0.8,"detalle_1",3,4,"moviles212"
"resumen_metricas.2137","modelo_svm - radial",0.91919,0.08081,0.9633,0.87629,0.89,0.94444,"detalle_1",3,4,"moviles212"
"resumen_metricas.3137","modelo_svm - sigmoid",0.93687,0.06313,0.97248,0.91753,0.94,0.91111,"detalle_1",3,4,"moviles212"
"resumen_metricas1471","modelo_svm - linear",0.95455,0.04545,0.99038,0.91304,0.92632,0.98095,"detalle_1",3,5,"moviles212"
"resumen_metricas.11471","modelo_svm - polynomial",0.78788,0.21212,0.75,0.83696,0.84211,0.73333,"detalle_1",3,5,"moviles212"
"resumen_metricas.2147","modelo_svm - radial",0.89394,0.10606,0.93269,0.8913,0.85263,0.89524,"detalle_1",3,5,"moviles212"
"resumen_metricas.3147","modelo_svm - sigmoid",0.93182,0.06818,0.95192,0.94565,0.88421,0.94286,"detalle_1",3,5,"moviles212"
"resumen_metricas301","modelo_svm - linear",0.95455,0.04545,0.94118,0.90991,0.97802,1,"detalle_1",1,1,"moviles221"
"resumen_metricas.1301","modelo_svm - polynomial",0.78535,0.21465,0.82353,0.71171,0.84615,0.77174,"detalle_1",1,1,"moviles221"
"resumen_metricas.230","modelo_svm - radial",0.90657,0.09343,0.95098,0.84685,0.91209,0.92391,"detalle_1",1,1,"moviles221"
"resumen_metricas.330","modelo_svm - sigmoid",0.91919,0.08081,0.92157,0.92793,0.89011,0.93478,"detalle_1",1,1,"moviles221"
"resumen_metricas1281","modelo_svm - linear",0.93434,0.06566,0.95495,0.96907,0.85849,0.96341,"detalle_1",1,2,"moviles221"
"resumen_metricas.11281","modelo_svm - polynomial",0.81313,0.18687,0.81982,0.84536,0.79245,0.79268,"detalle_1",1,2,"moviles221"
"resumen_metricas.2128","modelo_svm - radial",0.89141,0.10859,0.93694,0.84536,0.84906,0.93902,"detalle_1",1,2,"moviles221"
"resumen_metricas.3128","modelo_svm - sigmoid",0.89141,0.10859,0.9009,0.91753,0.80189,0.96341,"detalle_1",1,2,"moviles221"
"resumen_metricas2111","modelo_svm - linear",0.9697,0.0303,0.97826,0.9619,0.94231,1,"detalle_1",1,3,"moviles221"
"resumen_metricas.12111","modelo_svm - polynomial",0.82828,0.17172,0.80435,0.78095,0.83654,0.89474,"detalle_1",1,3,"moviles221"
"resumen_metricas.2211","modelo_svm - radial",0.90404,0.09596,0.95652,0.90476,0.82692,0.93684,"detalle_1",1,3,"moviles221"
"resumen_metricas.3211","modelo_svm - sigmoid",0.89899,0.10101,0.93478,0.90476,0.85577,0.90526,"detalle_1",1,3,"moviles221"
"resumen_metricas381","modelo_svm - linear",0.97727,0.02273,0.98947,0.97674,0.93878,1,"detalle_1",1,4,"moviles221"
"resumen_metricas.1381","modelo_svm - polynomial",0.84596,0.15404,0.89474,0.87209,0.79592,0.82906,"detalle_1",1,4,"moviles221"
"resumen_metricas.238","modelo_svm - radial",0.89646,0.10354,0.96842,0.88372,0.79592,0.93162,"detalle_1",1,4,"moviles221"
"resumen_metricas.338","modelo_svm - sigmoid",0.91414,0.08586,0.92632,0.89535,0.88776,0.94017,"detalle_1",1,4,"moviles221"
"resumen_metricas481","modelo_svm - linear",0.97222,0.02778,0.97917,0.91667,1,0.99065,"detalle_1",1,5,"moviles221"
"resumen_metricas.1481","modelo_svm - polynomial",0.80303,0.19697,0.84375,0.8125,0.80412,0.75701,"detalle_1",1,5,"moviles221"
"resumen_metricas.248","modelo_svm - radial",0.89141,0.10859,0.90625,0.8125,0.91753,0.92523,"detalle_1",1,5,"moviles221"
"resumen_metricas.348","modelo_svm - sigmoid",0.92424,0.07576,0.96875,0.86458,0.91753,0.94393,"detalle_1",1,5,"moviles221"
"resumen_metricas581","modelo_svm - linear",0.96465,0.03535,1,0.96226,0.91667,0.97917,"detalle_1",2,1,"moviles221"
"resumen_metricas.1581","modelo_svm - polynomial",0.82828,0.17172,0.84694,0.80189,0.875,0.79167,"detalle_1",2,1,"moviles221"
"resumen_metricas.258","modelo_svm - radial",0.90152,0.09848,0.95918,0.87736,0.85417,0.91667,"detalle_1",2,1,"moviles221"
"resumen_metricas.358","modelo_svm - sigmoid",0.88636,0.11364,0.94898,0.88679,0.79167,0.91667,"detalle_1",2,1,"moviles221"
"resumen_metricas681","modelo_svm - linear",0.96717,0.03283,0.92473,0.98864,0.95,1,"detalle_1",2,2,"moviles221"
"resumen_metricas.1681","modelo_svm - polynomial",0.76768,0.23232,0.74194,0.75,0.8,0.77391,"detalle_1",2,2,"moviles221"
"resumen_metricas.268","modelo_svm - radial",0.88131,0.11869,0.84946,0.86364,0.85,0.94783,"detalle_1",2,2,"moviles221"
"resumen_metricas.368","modelo_svm - sigmoid",0.91919,0.08081,0.92473,0.95455,0.87,0.93043,"detalle_1",2,2,"moviles221"
"resumen_metricas781","modelo_svm - linear",0.93434,0.06566,0.95,0.88235,0.93939,0.96842,"detalle_1",2,3,"moviles221"
"resumen_metricas.1781","modelo_svm - polynomial",0.79798,0.20202,0.88,0.70588,0.77778,0.83158,"detalle_1",2,3,"moviles221"
"resumen_metricas.278","modelo_svm - radial",0.88384,0.11616,0.92,0.83333,0.85859,0.92632,"detalle_1",2,3,"moviles221"
"resumen_metricas.378","modelo_svm - sigmoid",0.90152,0.09848,0.93,0.88235,0.86869,0.92632,"detalle_1",2,3,"moviles221"
"resumen_metricas881","modelo_svm - linear",0.9596,0.0404,0.9898,0.9,0.96262,1,"detalle_1",2,4,"moviles221"
"resumen_metricas.1881","modelo_svm - polynomial",0.81566,0.18434,0.81633,0.77273,0.85981,0.81481,"detalle_1",2,4,"moviles221"
"resumen_metricas.288","modelo_svm - radial",0.90152,0.09848,0.97959,0.80909,0.8972,0.93827,"detalle_1",2,4,"moviles221"
"resumen_metricas.388","modelo_svm - sigmoid",0.91667,0.08333,0.95918,0.88182,0.8972,0.93827,"detalle_1",2,4,"moviles221"
"resumen_metricas981","modelo_svm - linear",0.97727,0.02273,0.99065,0.97753,0.95745,0.98113,"detalle_1",2,5,"moviles221"
"resumen_metricas.1981","modelo_svm - polynomial",0.82323,0.17677,0.85047,0.80899,0.85106,0.78302,"detalle_1",2,5,"moviles221"
"resumen_metricas.298","modelo_svm - radial",0.91414,0.08586,0.92523,0.89888,0.90426,0.92453,"detalle_1",2,5,"moviles221"
"resumen_metricas.398","modelo_svm - sigmoid",0.92424,0.07576,0.94393,0.92135,0.87234,0.95283,"detalle_1",2,5,"moviles221"
"resumen_metricas1081","modelo_svm - linear",0.95455,0.04545,0.97391,0.91667,0.9375,0.98824,"detalle_1",3,1,"moviles221"
"resumen_metricas.11081","modelo_svm - polynomial",0.81313,0.18687,0.76522,0.85714,0.8125,0.83529,"detalle_1",3,1,"moviles221"
"resumen_metricas.2108","modelo_svm - radial",0.92172,0.07828,0.95652,0.92857,0.83929,0.97647,"detalle_1",3,1,"moviles221"
"resumen_metricas.3108","modelo_svm - sigmoid",0.90404,0.09596,0.96522,0.85714,0.83929,0.95294,"detalle_1",3,1,"moviles221"
"resumen_metricas11111","modelo_svm - linear",0.97727,0.02273,1,0.94949,0.96629,0.99145,"detalle_1",3,2,"moviles221"
"resumen_metricas.111111","modelo_svm - polynomial",0.78535,0.21465,0.75824,0.81818,0.83146,0.74359,"detalle_1",3,2,"moviles221"
"resumen_metricas.21111","modelo_svm - radial",0.88384,0.11616,0.96703,0.82828,0.83146,0.90598,"detalle_1",3,2,"moviles221"
"resumen_metricas.31111","modelo_svm - sigmoid",0.92929,0.07071,0.98901,0.87879,0.88764,0.95726,"detalle_1",3,2,"moviles221"
"resumen_metricas1291","modelo_svm - linear",0.96717,0.03283,0.99029,0.94505,0.93617,0.99074,"detalle_1",3,3,"moviles221"
"resumen_metricas.11291","modelo_svm - polynomial",0.80303,0.19697,0.80583,0.79121,0.81915,0.7963,"detalle_1",3,3,"moviles221"
"resumen_metricas.2129","modelo_svm - radial",0.88131,0.11869,0.8835,0.87912,0.88298,0.87963,"detalle_1",3,3,"moviles221"
"resumen_metricas.3129","modelo_svm - sigmoid",0.89394,0.10606,0.94175,0.9011,0.81915,0.90741,"detalle_1",3,3,"moviles221"
"resumen_metricas1381","modelo_svm - linear",0.95707,0.04293,0.96703,0.96262,0.90909,0.9899,"detalle_1",3,4,"moviles221"
"resumen_metricas.11381","modelo_svm - polynomial",0.80808,0.19192,0.84615,0.81308,0.79798,0.77778,"detalle_1",3,4,"moviles221"
"resumen_metricas.2138","modelo_svm - radial",0.88636,0.11364,0.94505,0.85047,0.83838,0.91919,"detalle_1",3,4,"moviles221"
"resumen_metricas.3138","modelo_svm - sigmoid",0.88889,0.11111,0.89011,0.8785,0.85859,0.92929,"detalle_1",3,4,"moviles221"
"resumen_metricas1481","modelo_svm - linear",0.9697,0.0303,0.97917,0.95614,0.96078,0.9881,"detalle_1",3,5,"moviles221"
"resumen_metricas.11481","modelo_svm - polynomial",0.79293,0.20707,0.83333,0.71053,0.81373,0.83333,"detalle_1",3,5,"moviles221"
"resumen_metricas.2148","modelo_svm - radial",0.87374,0.12626,0.88542,0.85088,0.84314,0.92857,"detalle_1",3,5,"moviles221"
"resumen_metricas.3148","modelo_svm - sigmoid",0.90909,0.09091,0.9375,0.87719,0.88235,0.95238,"detalle_1",3,5,"moviles221"
"resumen_metricas391","modelo_svm - linear",0.95202,0.04798,0.9703,0.89412,0.96154,0.9717,"detalle_1",1,1,"moviles222"
"resumen_metricas.1391","modelo_svm - polynomial",0.80303,0.19697,0.77228,0.8,0.86538,0.77358,"detalle_1",1,1,"moviles222"
"resumen_metricas.239","modelo_svm - radial",0.90657,0.09343,0.93069,0.85882,0.90385,0.92453,"detalle_1",1,1,"moviles222"
"resumen_metricas.339","modelo_svm - sigmoid",0.91414,0.08586,0.94059,0.88235,0.875,0.95283,"detalle_1",1,1,"moviles222"
"resumen_metricas1301","modelo_svm - linear",0.96212,0.03788,0.97222,0.95,0.92045,1,"detalle_1",1,2,"moviles222"
"resumen_metricas.11301","modelo_svm - polynomial",0.82576,0.17424,0.86111,0.79,0.84091,0.81,"detalle_1",1,2,"moviles222"
"resumen_metricas.2130","modelo_svm - radial",0.91162,0.08838,0.96296,0.91,0.80682,0.95,"detalle_1",1,2,"moviles222"
"resumen_metricas.3130","modelo_svm - sigmoid",0.94444,0.05556,0.9537,0.94,0.89773,0.98,"detalle_1",1,2,"moviles222"
"resumen_metricas2121","modelo_svm - linear",0.96465,0.03535,0.98095,0.96396,0.93939,0.97531,"detalle_1",1,3,"moviles222"
"resumen_metricas.12121","modelo_svm - polynomial",0.82071,0.17929,0.86667,0.78378,0.79798,0.83951,"detalle_1",1,3,"moviles222"
"resumen_metricas.2212","modelo_svm - radial",0.89646,0.10354,0.9619,0.84685,0.85859,0.92593,"detalle_1",1,3,"moviles222"
"resumen_metricas.3212","modelo_svm - sigmoid",0.92424,0.07576,0.98095,0.93694,0.87879,0.88889,"detalle_1",1,3,"moviles222"
"resumen_metricas3101","modelo_svm - linear",0.94697,0.05303,0.96512,0.9596,0.89423,0.97196,"detalle_1",1,4,"moviles222"
"resumen_metricas.13101","modelo_svm - polynomial",0.79545,0.20455,0.81395,0.82828,0.80769,0.73832,"detalle_1",1,4,"moviles222"
"resumen_metricas.2310","modelo_svm - radial",0.88384,0.11616,0.9186,0.87879,0.875,0.86916,"detalle_1",1,4,"moviles222"
"resumen_metricas.3310","modelo_svm - sigmoid",0.94444,0.05556,0.97674,0.92929,0.94231,0.93458,"detalle_1",1,4,"moviles222"
"resumen_metricas491","modelo_svm - linear",0.95455,0.04545,0.95833,0.92,0.9604,0.9798,"detalle_1",1,5,"moviles222"
"resumen_metricas.1491","modelo_svm - polynomial",0.7803,0.2197,0.82292,0.73,0.82178,0.74747,"detalle_1",1,5,"moviles222"
"resumen_metricas.249","modelo_svm - radial",0.87879,0.12121,0.90625,0.85,0.81188,0.94949,"detalle_1",1,5,"moviles222"
"resumen_metricas.349","modelo_svm - sigmoid",0.91162,0.08838,0.9375,0.9,0.88119,0.92929,"detalle_1",1,5,"moviles222"
"resumen_metricas591","modelo_svm - linear",0.95455,0.04545,0.96875,0.93478,0.93269,0.98077,"detalle_1",2,1,"moviles222"
"resumen_metricas.1591","modelo_svm - polynomial",0.79293,0.20707,0.82292,0.86957,0.78846,0.70192,"detalle_1",2,1,"moviles222"
"resumen_metricas.259","modelo_svm - radial",0.88636,0.11364,0.92708,0.8913,0.82692,0.90385,"detalle_1",2,1,"moviles222"
"resumen_metricas.359","modelo_svm - sigmoid",0.91919,0.08081,0.94792,0.88043,0.89423,0.95192,"detalle_1",2,1,"moviles222"
"resumen_metricas691","modelo_svm - linear",0.95202,0.04798,0.97872,0.92157,0.94118,0.96939,"detalle_1",2,2,"moviles222"
"resumen_metricas.1691","modelo_svm - polynomial",0.83838,0.16162,0.91489,0.80392,0.87255,0.76531,"detalle_1",2,2,"moviles222"
"resumen_metricas.269","modelo_svm - radial",0.90909,0.09091,0.95745,0.87255,0.89216,0.91837,"detalle_1",2,2,"moviles222"
