"","Modelo","overall_accuracy","overall_error","Factor_0_Accuracy","Factor_1_Accuracy","Factor_2_Accuracy","Factor_3_Accuracy","Detalle_1","experimento","grupo","dataset"
"resumen_metricas.141","modelo_arboles - information",0.79,0.21,0.94949,0.55914,0.76531,0.86364,"minsplit=2",1,5,"moviles112"
"resumen_metricas51","modelo_arboles - Gini",0.78,0.22,0.93269,0.64894,0.73585,0.79167,"minsplit=2",2,1,"moviles112"
"resumen_metricas.151","modelo_arboles - information",0.8025,0.1975,0.96154,0.61702,0.75472,0.86458,"minsplit=2",2,1,"moviles112"
"resumen_metricas61","modelo_arboles - Gini",0.7925,0.2075,0.88889,0.65934,0.79381,0.81416,"minsplit=2",2,2,"moviles112"
"resumen_metricas.161","modelo_arboles - information",0.8025,0.1975,0.90909,0.69231,0.7732,0.82301,"minsplit=2",2,2,"moviles112"
"resumen_metricas71","modelo_arboles - Gini",0.78,0.22,0.95745,0.66019,0.68224,0.84375,"minsplit=2",2,3,"moviles112"
"resumen_metricas.171","modelo_arboles - information",0.78,0.22,0.95745,0.66019,0.68224,0.84375,"minsplit=2",2,3,"moviles112"
"resumen_metricas81","modelo_arboles - Gini",0.815,0.185,0.9505,0.71,0.7033,0.87963,"minsplit=2",2,4,"moviles112"
"resumen_metricas.181","modelo_arboles - information",0.82,0.18,0.9604,0.72,0.69231,0.88889,"minsplit=2",2,4,"moviles112"
"resumen_metricas91","modelo_arboles - Gini",0.785,0.215,0.89216,0.72321,0.70707,0.82759,"minsplit=2",2,5,"moviles112"
"resumen_metricas.191","modelo_arboles - information",0.7925,0.2075,0.96078,0.71429,0.67677,0.82759,"minsplit=2",2,5,"moviles112"
"resumen_metricas101","modelo_arboles - Gini",0.81,0.19,0.97115,0.70909,0.65686,0.92857,"minsplit=2",3,1,"moviles112"
"resumen_metricas.1101","modelo_arboles - information",0.7875,0.2125,0.98077,0.58182,0.72549,0.89286,"minsplit=2",3,1,"moviles112"
"resumen_metricas111","modelo_arboles - Gini",0.805,0.195,0.92523,0.77273,0.66667,0.84466,"minsplit=2",3,2,"moviles112"
"resumen_metricas.1111","modelo_arboles - information",0.8175,0.1825,0.95327,0.78409,0.67647,0.84466,"minsplit=2",3,2,"moviles112"
